strain,objective,p1,p2,p3,p4,p5_fixed,p6,p7_fixed,p8,p9,p0_fixed,w0,x0_fixed,y0_fixed,z0_fixed,W0_fixed,R2_adj,R2_w,R2_x,R2_y,R2_z,RSS_global,RSS_w,RSS_x,RSS_y,RSS_z,AIC,elapsed_sec
E1,0.0748509307128231,0.0245880563706589,0.0001,0.00843122508071952,0.359151552610523,8.24233234113329e-07,0.194630728603585,0.000412587607476158,0.1,0.00865978548775057,1,0.0317681168774854,3.04938862438354,16.6271957089034,0.125032128741263,0,0.995363420921675,0.952096902293171,0.995685478109435,0.993874308577037,0.99580159119667,3.85339991790025,0.124441059184132,0.060430972134256,2.97690938892031,0.691618497661557,-90.0391751983083,157.6745744
E2,0.0939444971560696,0.0186458461939491,0.0730528436589525,0.00799118329082233,0.232155960938396,8.24233234113329e-07,0.159271863032486,0.000412587607476158,0.0766993303994731,0.00722457048062971,1,0.0259453122985562,3.86211277855056,24.544697590697,0.587521818951858,0,0.990053464527587,0.943485528327778,0.996599642628882,0.985489060750062,0.994875885083578,17.2240334382075,0.115780868504303,0.0858673041458061,15.6229191413765,1.39946612418087,-24.1557819182353,75.6900969
E3,0.109355360282188,0.0200975168950563,0.1,0.00753797299659555,0.199780445310339,8.24233234113329e-07,0.160093014213684,0.000412587607476158,0.0818319059683,0.01,1,0.0189606694912188,3.68882640952688,23.2938968059735,0.147774919632572,0,0.988881852431048,0.936667307321225,0.995095759958428,0.983418429394673,0.995858587592331,18.1116979246128,0.126839122632687,0.117207930619075,16.7462637041597,1.12138716720128,-21.9446797388822,125.2561571
E4,0.0908723630462757,0.0104574879211525,0.1,0.00270422024722907,0.297083029434542,8.24233234113329e-07,0.186005707609372,0.000412587607476158,0.0950253904587098,0.00135873305005999,1,0.0197624407391462,5.99608098946125,41.0121960654635,0.191761753848805,0,0.993395993683301,0.946324342240108,0.993226777384712,0.990402786750858,0.995404530848598,34.5699493584693,0.0937742668787778,0.389139006817229,29.4671733798182,4.61986270495504,6.4980979362151,103.6693196
E5,0.0778252182037373,0.0106946576301611,0.0769262052200359,0.00329310122263516,0.176345650293264,8.24233234113329e-07,0.138008061759693,0.000412587607476158,0.0685199000683319,1e-06,1,0.0124569489985539,4.50111119781532,42.3244781187944,0.0345520010031608,0,0.993149591547585,0.963387309237346,0.993397530863588,0.98986985103192,0.996079072836259,39.776760734713,0.111291792604059,0.243822771863462,35.2273180947966,4.19432807544887,12.6712122058059,215.978164
E6,0.085177440850404,0.00983956522423278,0.0432847422817887,0.00347176889201809,0.369477556465055,8.24233234113329e-07,0.129778290637945,0.000412587607476158,0.0719220346848709,1e-06,1,0.0188763627585534,5.52045686454944,41.0028590586077,0.0571779895663814,0,0.991655595253699,0.968329744998474,0.989251345833518,0.987591854470752,0.994421289512923,48.0190845819408,0.0982702080422786,0.514687826734796,40.9978822407846,6.40824430637912,20.9571024218815,101.2361438
E7,0.228108886158602,0.00894349731927744,0.1,0.00217350437369784,0.260903429283329,8.24233234113329e-07,0.170912872387826,0.000412587607476158,0.0873957456104834,1e-06,1,0.0525657511245818,6.06690085818673,40.0897159761291,0.152947114336492,0,0.983525837772669,0.807145380104981,0.995219378266942,0.974790641492091,0.991057953798496,84.0677214408182,0.249784423313793,0.295716476943851,74.8181448564263,8.70407568413428,45.5981652118046,261.3033639
E8,0.368856588481071,0.00434956281125525,0.1,0.000830501574314267,0.452678838048531,8.24233234113329e-07,0.174722498607795,0.000412587607476158,0.0914337763903583,1e-06,1,0.0369011049146534,5.02958243312733,68.0657074507186,0,0,0.974665319025741,0.82884583313344,0.981609721092844,0.965627228429516,0.965107232734418,401.428262894283,0.205356663781857,0.636036504516467,309.185767720493,91.4011020054915,114.38803638469,228.5934375
E9,0.200040340821394,0.00553319001119691,0.1,0.00196803684327339,0.623405905872535,8.24233234113329e-07,0.101883862919251,0.000412587607476158,0.0518910865561283,1e-06,1,0.0112444151544964,7.1936263074291,68.0797170009536,0,0,0.977140461272389,0.964496100378796,0.972602427805925,0.960955603840554,0.977638158984721,374.561209260417,0.0974157152542196,2.14957336618823,325.277663059858,47.0365571191169,111.339997436384,164.5434202
E10,0.123935666823873,0.00551262602913268,0.1,0.00207224901733668,0.182342999350397,8.24233234113329e-07,0.112285414792823,0.000412587607476158,0.0550014449926323,1e-06,1,0.013753687599206,6.08929428228139,77.9388313549297,0.962472934288609,0,0.981163516987469,0.970934350343121,0.997504898507851,0.970732295339691,0.984844312072708,388.394741169015,0.0742433654395304,0.176951273464235,344.232864511362,43.9106820187493,112.935743868927,185.4684217
