strain,Parameter,Estimate,SE,MoE,CI95_low,CI95_high,PValue,R2_adj,R2_w,R2_x,R2_y,R2_z,RSS_global,RSS_w,RSS_x,RSS_y,RSS_z,AIC
E1,p1,0.219703689956323,0.024700379708336,0.050003304527965,0.169700385428358,0.269706994484288,7.96951988280339e-11,0.998479117846783,0.991708855131881,0.999099036605741,0.99862604970178,0.99883597805379,1.27022445364274,0.394249221308354,0.0122295610971082,0.673124946200275,0.190620725037004,-141.70955434185
E1,p2,0.0356098186343488,0.00479541998172827,0.00970782022451755,0.0259019984098312,0.0453176388588663,6.57512227831402e-09,0.998479117846783,0.991708855131881,0.999099036605741,0.99862604970178,0.99883597805379,1.27022445364274,0.394249221308354,0.0122295610971082,0.673124946200275,0.190620725037004,-141.70955434185
E1,p3,0.0974792862907935,0.0415380958941936,0.0840894789082212,0.0133898073825723,0.181568765199015,0.0242525385793783,0.998479117846783,0.991708855131881,0.999099036605741,0.99862604970178,0.99883597805379,1.27022445364274,0.394249221308354,0.0122295610971082,0.673124946200275,0.190620725037004,-141.70955434185
E1,p5,0.593461080087072,0.0806882572186504,0.163344837009664,0.430116243077408,0.756805917096736,8.17946290196603e-09,0.998479117846783,0.991708855131881,0.999099036605741,0.99862604970178,0.99883597805379,1.27022445364274,0.394249221308354,0.0122295610971082,0.673124946200275,0.190620725037004,-141.70955434185
E1,p7,0.329179503959261,0.0263797883548482,0.0534030895907877,0.275776414368474,0.382582593550049,5.17484069609589e-15,0.998479117846783,0.991708855131881,0.999099036605741,0.99862604970178,0.99883597805379,1.27022445364274,0.394249221308354,0.0122295610971082,0.673124946200275,0.190620725037004,-141.70955434185
E1,p9,0.179209975988733,0.014244372899386,0.0288362253661028,0.15037375062263,0.208046201354836,4.02169822589225e-15,0.998479117846783,0.991708855131881,0.999099036605741,0.99862604970178,0.99883597805379,1.27022445364274,0.394249221308354,0.0122295610971082,0.673124946200275,0.190620725037004,-141.70955434185
E2,p1,0.298572927053002,0.0454001840410799,0.0919078676132915,0.20666505943971,0.390480794666293,9.25276016919202e-08,0.99899428898079,0.994741967412605,0.999797684325015,0.999252336222244,0.997660913017668,1.68881011857716,0.235545795070897,0.00511923930245411,0.797484736597468,0.650660347606344,-129.177008421198
E2,p2,0.0550743047013797,0.0066846390004238,0.0135323441803163,0.0415419605210634,0.068606648881696,5.54955755090285e-10,0.99899428898079,0.994741967412605,0.999797684325015,0.999252336222244,0.997660913017668,1.68881011857716,0.235545795070897,0.00511923930245411,0.797484736597468,0.650660347606344,-129.177008421198
E2,p3,0.01,0.0590210261962594,0.119481820979803,-0.109481820979803,0.129481820979803,0.866356284009011,0.99899428898079,0.994741967412605,0.999797684325015,0.999252336222244,0.997660913017668,1.68881011857716,0.235545795070897,0.00511923930245411,0.797484736597468,0.650660347606344,-129.177008421198
E2,p5,0.233775107303815,0.0284284388980821,0.0575503657944055,0.176224741509409,0.29132547309822,5.81618168409037e-10,0.99899428898079,0.994741967412605,0.999797684325015,0.999252336222244,0.997660913017668,1.68881011857716,0.235545795070897,0.00511923930245411,0.797484736597468,0.650660347606344,-129.177008421198
E2,p7,0.149128369011438,0.00995720205264209,0.0201573017242609,0.128971067287177,0.169285670735698,1.58417852127262e-17,0.99899428898079,0.994741967412605,0.999797684325015,0.999252336222244,0.997660913017668,1.68881011857716,0.235545795070897,0.00511923930245411,0.797484736597468,0.650660347606344,-129.177008421198
E2,p9,0.0721246403772843,0.00480448798395317,0.00972617743529999,0.0623984629419844,0.0818508178125843,1.4679722679705e-17,0.99899428898079,0.994741967412605,0.999797684325015,0.999252336222244,0.997660913017668,1.68881011857716,0.235545795070897,0.00511923930245411,0.797484736597468,0.650660347606344,-129.177008421198
E3,p1,0.298115633210701,0.0647079599014085,0.130994416383061,0.16712121682764,0.429110049593762,4.49320751924777e-05,0.997762885278664,0.996334964214685,0.999748751076415,0.998266155772307,0.994287780262948,3.54817758160157,0.183370270571294,0.00604426687655478,1.76053475484767,1.59822828930605,-96.5109725894562
E3,p2,0.0513224964944988,0.00900335091120382,0.0182263310402925,0.0330961654542063,0.0695488275347914,1.46692635585332e-06,0.997762885278664,0.996334964214685,0.999748751076415,0.998266155772307,0.994287780262948,3.54817758160157,0.183370270571294,0.00604426687655478,1.76053475484767,1.59822828930605,-96.5109725894562
E3,p3,0.01,0.0833367331681923,0.168706396265177,-0.158706396265177,0.178706396265178,0.905119220407122,0.997762885278664,0.996334964214685,0.999748751076415,0.998266155772307,0.994287780262948,3.54817758160157,0.183370270571294,0.00604426687655478,1.76053475484767,1.59822828930605,-96.5109725894562
E3,p5,0.185645874228162,0.0328933106437641,0.0665890260989794,0.119056848129182,0.252234900327141,1.75344089547577e-06,0.997762885278664,0.996334964214685,0.999748751076415,0.998266155772307,0.994287780262948,3.54817758160157,0.183370270571294,0.00604426687655478,1.76053475484767,1.59822828930605,-96.5109725894562
E3,p7,0.14403835450761,0.0139746105203067,0.0282901199802517,0.115748234527358,0.172328474487862,1.46286146017746e-12,0.997762885278664,0.996334964214685,0.999748751076415,0.998266155772307,0.994287780262948,3.54817758160157,0.183370270571294,0.00604426687655478,1.76053475484767,1.59822828930605,-96.5109725894562
