param,estimate,SE,MOE_95,CI_low,CI_high,p_value
p1,0.271259069442749,0.06347487049911049,0.1284981573934673,0.14276091204928174,0.3997572268362163,0.00012442429665722915
p2,0.047712650150060654,0.009031000031810545,0.018282303758686072,0.02943034639137458,0.06599495390874673,5.464616346062349e-06
p3,0.038941334933042526,0.08094376019242996,0.16386207573864517,-0.12492074080560264,0.2028034106716877,0.6332103266860097
p5,0.17196863889694214,0.02963466092673266,0.05999223462958766,0.11197640426735447,0.2319608735265298,1.0609177206947305e-06
p7,0.1333770900964737,0.012330707080598148,0.024962211450870884,0.10841487864560281,0.15833930154734457,3.6845105185586155e-13
p9,0.06524619460105896,0.0060264740946843285,0.01219995898624562,0.053046235614813336,0.07744615358730458,3.587991215936978e-13
w0 (estimated),0.061528414487838745,,,,,
x0 (fixed),3.6937637329101562,,,,,
y0 (fixed),23.334632873535156,,,,,
z0 (fixed),0.12455999851226807,,,,,
W0 (fixed),0.0,,,,,
