param,estimate,SE,MOE_95,CI_low,CI_high,p_value
p1,0.017080968245863914,0.002610673974819378,0.00528972793120527,0.011791240314658644,0.022370696177069185,1.161249913630618e-07
p2,0.09694549441337585,0.11010347763701349,0.22309083654141082,-0.12614534212803497,0.3200363309547867,0.3842751607303678
p3,0.007346788886934519,0.005559910479300439,0.011265448708275113,-0.003918659821340594,0.018612237595209632,0.19448585719256678
p4,0.17137061059474945,0.08517837907792511,0.17258778970072822,-0.0012171791059787662,0.34395840029547764,0.051554490771827444
p6,0.1342107206583023,0.044084871445192596,0.08932443425585643,0.04488628640244588,0.22353515491415873,0.004277852456652887
p8,0.06329155713319778,0.021633383053826963,0.04383339769348585,0.019458159439711936,0.10712495482668363,0.005842918386711878
p9,0.001691873767413199,0.007342792279423829,0.014877910374156894,-0.013186036606743695,0.016569784141570093,0.8190402181836473
w0 (estimated),0.03764171898365021,,,,,
x0 (fixed),3.6852974891662598,,,,,
y0 (fixed),23.26363182067871,,,,,
z0 (fixed),0.1326395869255066,,,,,
W0 (fixed),0.0,,,,,
