strain,objective,p1,p2,p3,p4,p5_fixed,p6,p7_fixed,p8,p9,p0_fixed,w0,x0_fixed,y0_fixed,z0_fixed,W0_fixed,R2_adj,R2_w,R2_x,R2_y,R2_z,RSS_global,RSS_w,RSS_x,RSS_y,RSS_z,AIC,elapsed_sec
E1,0.349231293263355,0.0297434950394317,0.0001,0.0103224370058138,0.535129618795364,8.24233234113329e-07,0.197199458029189,0.000412587607476158,0.1,0.00827298670533481,1,0.0112325486187693,3.29526,17.2044625,0,0,0.969525916535487,0.843822828102807,0.992852962854641,0.961827572634482,0.970838821102819,28.5961372464499,0.65352514771772,0.120553168725921,22.172174837945,5.64988409206125,-1.84928029607667,280.7774219
E2,0.287363422954954,0.0224809173521577,0.0160534435524818,0.0118742270713409,0.311332348237038,8.24233234113329e-07,0.18642274214157,0.000412587607476158,0.092335147337946,0.01,1,0.00610609037521076,4.001495,25.40987375,0,0,0.980856047207764,0.834796003651853,0.980834248277214,0.975142481044416,0.985550917123857,36.5494376552064,0.606692813209262,0.574843743694405,30.8169582524504,4.55094284585226,8.94806243837379,319.3537558
E3,0.306257855203131,0.0271503767419958,0.1,0.0101927964757245,0.23558139729047,8.24233234113329e-07,0.174261675273964,0.000412587607476158,0.0900278158355518,0.01,1,0.00305887524693749,3.680275,23.0805475,0,0,0.974340835631323,0.822310781784135,0.992457159914784,0.966163031940717,0.980971161480195,45.8053969940526,0.649156497009881,0.204883584806645,39.0610766471078,5.89028026512824,18.8804518076448,93.2662793
E4,0.283564730830294,0.0127692607818957,0.0971025764028088,0.0036425388915838,0.399752218134358,8.24233234113329e-07,0.196506041599406,0.000412587607476158,0.1,0.00302611068132521,1,0.00511181999607849,6.37639125,42.95637625,0,0,0.980179472443361,0.81855226822687,0.978729019073931,0.973206153664727,0.984739317382114,113.769938655779,0.541110857606441,1.40830283432768,94.408345499775,17.4121794640697,58.9106136223904,199.7406059
E5,0.275710527864368,0.013706167800539,0.0594078852733861,0.00433579763255462,0.244044849302564,8.24233234113329e-07,0.170790235943347,0.000412587607476158,0.0826118868160975,1e-06,1,0.00179074376510868,4.794495,42.858695,0,0,0.984321040047908,0.875681264038116,0.967301490037051,0.978427804683861,0.990346082208041,99.5187188434702,0.56780848657517,1.40907600339567,85.9777540452624,11.5640803082369,53.0219804629337,234.7998399
E6,0.320097742995015,0.012042043197229,0.0154069740172249,0.00467795122055378,0.630905606965842,8.24233234113329e-07,0.158564469895583,0.000412587607476158,0.0839005807434392,1e-06,1,0.00414395033956931,6.03429375,42.51383,0,0,0.98427864927065,0.890155455158377,0.930325562726131,0.982882127563851,0.97710193796695,98.5502744746245,0.510357824789434,4.08570887539583,64.4075416861277,29.5466660883115,52.5917072426292,348.1236948
E7,0.439968854886465,0.0122622557613637,0.1,0.00321930085111652,0.365265785446081,8.24233234113329e-07,0.203707532053171,0.000412587607476158,0.1,0.000461414904469719,1,0.0112648646222654,6.35637125,41.85988125,0,0,0.973991510312985,0.612964215488552,0.98707005192767,0.965064318069031,0.97776217059618,145.373885669271,0.979991326696906,0.949767119131249,119.000447296894,24.443679926549,69.6963608248338,331.4373217
E8,0.753761554918647,0.00525676352366475,0.1,0.00113688948306033,1,8.24233234113329e-07,0.190457090875652,0.000412587607476158,0.1,1e-06,1,0.0157486816434529,6.0513725,68.8780475,0,0,0.962087957599632,0.560239935903735,0.876497230383246,0.94979628832806,0.954784527588547,646.253551157222,0.901952745213276,5.26251579844489,508.435504005254,131.65357860831,135.339211735157,510.6051758
E9,0.449271742833074,0.00629087737035927,0.0821282230863861,0.00275586984914712,1,8.24233234113329e-07,0.105273428981729,0.000412587607476158,0.0545498303283284,1e-06,1,0.0047622803484644,7.50902625,68.01975875,0,0,0.958387412152566,0.853304983376088,0.941453756152553,0.931110850218869,0.968397750638425,728.025174846878,0.565896570934341,5.29288811189661,648.604546588669,73.5618435753788,140.581534869734,310.1315468
E10,0.321035943659738,0.00675669319253915,0.1,0.0026098435811157,0.228030607295421,8.24233234113329e-07,0.124544916440217,0.000412587607476158,0.0631961071405392,0.00188262482416389,1,0.00341726155292946,6.1910675,78.825585,0,0,0.968784705963923,0.860505476684912,0.99381596194874,0.957387403006353,0.961241270038577,694.426942914369,0.53501025202492,0.494548322706446,564.290572112169,129.106812227469,138.502593585135,366.0459857
