Experiment,Parameter,Estimate,SE,MoE,CI95_low,CI95_high,PValue,R2_adj,RSS_global,AIC,cond_JTJ,used_pinv
E1,p1,0.219703689977154,0.024700379737674,0.0500033045873566,0.169700385389797,0.269706994564511,7.96952010902647e-11,0.997934810027868,1.27022445222829,-141.709554390846,13390.4590156972,0
E1,p2,0.035609818642848,0.00479541999043216,0.00970782024213766,0.0259019984007103,0.0453176388849857,6.57512251538728e-09,0.997934810027868,1.27022445222829,-141.709554390846,13390.4590156972,0
E1,p3,0.0974792863604054,0.0415380959650203,0.0840894790516025,0.0133898073088029,0.181568765412008,0.0242525387110377,0.997934810027868,1.27022445222829,-141.709554390846,13390.4590156972,0
E1,p5,0.593461080208484,0.080688257351867,0.163344837279347,0.430116242929137,0.756805917487831,8.17946317053747e-09,0.997934810027868,1.27022445222829,-141.709554390846,13390.4590156972,0
E1,p7,0.32917950396643,0.0263797883855106,0.0534030896528604,0.27577641431357,0.38258259361929,5.17484087747175e-15,0.997934810027868,1.27022445222829,-141.709554390846,13390.4590156972,0
E1,p9,0.179209975996306,0.0142443729447928,0.0288362254580242,0.150373750538282,0.20804620145433,4.02169861583263e-15,0.997934810027868,1.27022445222829,-141.709554390846,13390.4590156972,0
E2,p1,0.298572927030589,0.0454026931674357,0.0919129470740426,0.206659979956546,0.390485874104632,9.26332825045632e-08,0.998612859657238,1.68881011898725,-129.177008410514,30411.1244378058,0
E2,p2,0.0550743046968375,0.0066849668409134,0.0135330078586901,0.0415412968381474,0.0686073125555276,5.55628250559813e-10,0.998612859657238,1.68881011898725,-129.177008410514,30411.1244378058,0
E2,p3,0.01,0.0590242146350373,0.119488275636657,-0.109488275636657,0.129488275636657,0.866363432747173,0.998612859657238,1.68881011898725,-129.177008410514,30411.1244378058,0
E2,p5,0.233775107259661,0.0284287282549332,0.057550951566726,0.176224155692935,0.291326058826387,5.81764186433982e-10,0.998612859657238,1.68881011898725,-129.177008410514,30411.1244378058,0
E2,p7,0.149128368991381,0.00995749793677555,0.0201579007103739,0.128970468281007,0.169286269701755,1.58571536975072e-17,0.998612859657238,1.68881011898725,-129.177008410514,30411.1244378058,0
E2,p9,0.0721246403675529,0.00480463253070417,0.00972647005489911,0.0623981703126538,0.081851110422452,1.46941507745265e-17,0.998612859657238,1.68881011898725,-129.177008410514,30411.1244378058,0
E3,p1,0.298115633283097,0.0647117000333083,0.131001987884251,0.167113645398846,0.429117621167348,4.49689283399009e-05,0.996988508342939,3.54817757882842,-96.5109726238454,28680.4711732555,0
E3,p2,0.0513224965067231,0.00900381432213307,0.0182272691666732,0.0330952273400499,0.0695497656733963,1.46828624175832e-06,0.996988508342939,3.54817757882842,-96.5109726238454,28680.4711732555,0
E3,p3,0.01,0.0833414563907029,0.168715957929263,-0.158715957929263,0.178715957929263,0.905124571172181,0.996988508342939,3.54817757882842,-96.5109726238454,28680.4711732555,0
