Experiment,Parameter,Estimate,SE,MoE,CI95_low,CI95_high,PValue,R2_adj,RSS_global,AIC,cond_JTJ,used_pinv
E1,p1,0.212645011969812,0.0961286652420066,0.194602308900565,0.0180427030692465,0.407247320870378,0.033045952542991,0.969883610367714,22.0839762463207,-16.0605729142563,39009.1817088422,0
E1,p2,0.034265180140751,0.0192003023912283,0.0388689801061476,-0.00460379996539662,0.0731341602468986,0.0823091311670743,0.969883610367714,22.0839762463207,-16.0605729142563,39009.1817088422,0
E1,p3,0.245515105604619,0.16672922563699,0.337525671333085,-0.0920105657284664,0.583040776937704,0.149110659511101,0.969883610367714,22.0839762463207,-16.0605729142563,39009.1817088422,0
E1,p5,1,0.599356541141682,1.21333388398969,-0.213333883989685,2.21333388398969,0.103445869421547,0.969883610367714,22.0839762463207,-16.0605729142563,39009.1817088422,0
E1,p7,0.475365512286819,0.185335035842884,0.375191164928749,0.10017434735807,0.850556677215568,0.0143935545668019,0.969883610367714,22.0839762463207,-16.0605729142563,39009.1817088422,0
E1,p9,0.255496890950882,0.0986349186137198,0.199675953599546,0.0558209373513356,0.455172844550428,0.0135228384221529,0.969883610367714,22.0839762463207,-16.0605729142563,39009.1817088422,0
E2,p1,0.427786848870896,0.170570038609639,0.345300990699592,0.0824858581713037,0.773087839570488,0.0165314207242045,0.986077214064028,19.5071933801698,-21.5196089133142,15966.6700727124,0
E2,p2,0.0781219794050474,0.0276118513947135,0.0558972708182625,0.0222247085867849,0.13401925022331,0.0074103169274381,0.986077214064028,19.5071933801698,-21.5196089133142,15966.6700727124,0
E2,p3,0.01,0.233053498647299,0.471792142540859,-0.461792142540859,0.481792142540859,0.965999069001797,0.986077214064028,19.5071933801698,-21.5196089133142,15966.6700727124,0
E2,p5,0.682490354479159,0.372980222759784,0.755058986209493,-0.0725686317303339,1.43754934068865,0.075128806193709,0.986077214064028,19.5071933801698,-21.5196089133142,15966.6700727124,0
E2,p7,0.372939109714964,0.139808414477897,0.28302733833484,0.0899117713801245,0.655966448049804,0.0111682997746608,0.986077214064028,19.5071933801698,-21.5196089133142,15966.6700727124,0
E2,p9,0.186068590956891,0.0695309724765907,0.140758094892734,0.0453104960641569,0.326826685849625,0.01093209065986,0.986077214064028,19.5071933801698,-21.5196089133142,15966.6700727124,0
E3,p1,0.422700535252197,0.160641933256114,0.325202592163214,0.0974979430889829,0.747903127415411,0.0122206275096254,0.985844548439027,19.0492098111228,-22.5649462989553,11516.6630171571,0
E3,p2,0.0727469795841978,0.0240249015074347,0.0486358704002107,0.0241111091839871,0.121382849984408,0.00440688384157687,0.985844548439027,19.0492098111228,-22.5649462989553,11516.6630171571,0
E3,p3,0.01,0.210288365953354,0.425706540774554,-0.415706540774554,0.435706540774554,0.962320946648117,0.985844548439027,19.0492098111228,-22.5649462989553,11516.6630171571,0
E3,p5,0.449508255039815,0.240144280878165,0.486146680706595,-0.0366384256667798,0.93565493574641,0.0689428373046594,0.985844548439027,19.0492098111228,-22.5649462989553,11516.6630171571,0
