strain,objective,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,w0,x0,y0,z0,W0,R2_adj,R2_w,R2_x,R2_y,R2_z,RSS_global,RSS_w,RSS_x,RSS_y,RSS_z,AIC,elapsed_sec
E1,0.842916769219883,0.217563782151714,0.0357212020889447,0.14487372473815,0.00361014156541638,0.727238777295039,8.24233234113329e-07,0.364444948847995,0.000412587607476158,0.20005121493119,0.000335011195116715,0.0285881400288532,3.02952683177561,16.7141426522767,0.153811866158315,0,0.99859147857961,0.99084483238579,0.996854920938163,0.999807727991002,0.998347011924552,0.842916769219883,0.435334053410247,0.0426908981952571,0.0941977929481455,0.270694024666233,-156.91226331145,1.1349848
E2,1.41914968874744,0.307012718380684,0.0565378669018208,0.0100000000000222,0.00361014156541638,0.265644563732536,8.24233234113329e-07,0.154948282141551,0.000412587607476158,0.0756303317099436,0.000335011195116715,0.0564695834828415,3.85132423288129,24.3100257968021,0.603489031229986,0,0.998801971885885,0.994373176733419,0.999472516243164,0.999790540618889,0.996655555322768,1.41914968874744,0.252066631010922,0.0133470408538676,0.223416814272904,0.930319202609749,-133.990685994713,1.3342287
E3,2.64574825589533,0.31692782951479,0.0546828586772527,0.0100000000001315,0.00361014156541638,0.233291782377002,8.24233234113329e-07,0.155065016210432,0.000412587607476158,0.0769347575746877,0.000335011195116715,0.0435168332081542,3.69376368926291,23.3346337307678,0.124559998579405,0,0.997692062419329,0.994791281479228,0.997836588283598,0.999703674476117,0.992736681674181,2.64574825589533,0.260604310689319,0.0520449504467438,0.300887112701805,2.03221188205746,-106.583260310904,1.9248306
E4,0.940298849101622,0.301663259203211,0.0383922242181325,0.0100000000000441,0.00361014156541638,0.222300420549746,8.24233234113329e-07,0.130077136914905,0.000412587607476158,0.068850177036893,0.000335011195116715,0.0568569513106844,6.0257993786493,40.9433651031741,0.191034264216812,0,0.999733693967783,0.996936805335629,0.997529335737336,0.999949280153089,0.999663211864515,0.940298849101622,0.301020717074283,0.146610626724824,0.155073693774739,0.337593811527776,-152.101764086737,1.8398615
E5,3.72540532082179,0.257971824873185,0.0290551448988048,0.0800985695579169,0.00361014156541638,0.202085107182353,8.24233234113329e-07,0.140693120533487,0.000412587607476158,0.071932088189307,0.000335011195116715,0.0269831545834688,4.71087010559681,42.2202773753081,0.04653330677103,0,0.999041631479951,0.991741680191454,0.999033350649132,0.999922013869969,0.997639579371699,3.72540532082179,0.963309022882963,0.0391104470024086,0.268758926710438,2.45422692422598,-91.5255038789723,0.0869855
E6,13.1673923243062,0.213127140118731,0.0243053026502614,0.152323968043303,0.00361014156541638,0.519100942744077,8.24233234113329e-07,0.124442397691063,0.000412587607476158,0.0716086369185394,0.000335011195116715,0.0251833798505109,5.62996269219331,41.5260190013289,0.0645177614618135,0,0.996673011428563,0.987951835320281,0.98790672369552,0.999516607522053,0.991934404414059,13.1673923243062,1.43397982686171,0.582801615019421,1.6339604305795,9.51665045184561,-35.972519003108,0.1049405
E7,2.79142302584214,0.338527880532837,0.0394007639166624,0.0100000000000284,0.00361014156541638,0.153444222761815,8.24233234113329e-07,0.0725494114906114,0.000412587607476158,0.0403172631117853,0.000335011195116715,0.0857232004400401,6.03753610860432,39.9933401802281,0.152615872209954,0,0.999191791099593,0.997980954122464,0.99971189076494,0.999743567938393,0.998198542867769,2.79142302584214,0.25183923289895,0.0178421545968164,0.759119865880315,1.76262177246606,-104.224966301288,0.1309568
E8,13.3909874688022,0.263488545667233,0.0282064602339194,0.0552096955449803,0.00361014156541638,0.503727626533598,8.24233234113329e-07,0.102010906294249,0.000412587607476158,0.0539308948305022,0.000335011195116715,0.0278448985971767,4.9452768975505,68.1450389613455,0,0,0.998636801569716,0.998476078842816,0.9565713180646,0.999796739431779,0.996223867467143,13.3909874688022,0.186760413427339,1.48578652406536,1.82025254807804,9.89818798323146,-35.2316290175922,0.1558141
E9,37.068119799239,0.283879437130497,0.0241654995638376,0.0100000000000225,0.00361014156541638,0.368845609086625,8.24233234113329e-07,0.0461743310549965,0.000412587607476158,0.0231017093799944,0.000335011195116715,0.0417764805164208,7.23641894520306,67.4580996886758,0,0,0.995706486574053,0.94910103257474,0.985426264298043,0.99680549666901,0.999424488955581,37.068119799239,9.15882675936942,1.15166236394853,25.580314262885,1.17731641303606,9.56808822496797,0.1316815
E10,19.2049513603954,0.323291517838426,0.0240431281888514,0.0100000000000227,0.00361014156541638,0.104522753040901,8.24233234113329e-07,0.0463672547067474,0.000412587607476158,0.0227796083549406,0.000335011195116715,0.0480022666104061,6.1345278989027,78.5438315764584,0.868635863887189,0,0.998466701478669,0.995677238304486,0.999113984717397,0.999568589729563,0.995608897253469,19.2049513603954,1.27322164576158,0.0626354307377011,5.03581880728042,12.8332754766157,-19.3658350990678,0.1588486
