strain,objective,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,w0,x0,y0,z0,W0,R2_adj,R2_w,R2_x,R2_y,R2_z,RSS_global,RSS_w,RSS_x,RSS_y,RSS_z,AIC,elapsed_sec
E1,16.9722093404706,0.234288334969043,0.0397899734995194,0.427772537238793,0.00361014156541638,0.999999999999961,8.24233234113329e-07,0.779768418210051,0.000412587607476158,0.397299614002629,0.000335011195116715,0.00156861282809276,3.325705625,17.46948875,0,0,0.976211709192908,0.943308770737956,0.89408628726408,0.983331587152224,0.987908159396601,16.9722093404706,3.08449174725988,1.74685582075825,9.81018506122058,2.33067671123192,-24.8038332653957,0.0967395
E2,18.7669529933231,0.433445572283854,0.078513369077049,0.0100000000000421,0.00361014156541638,0.829751950875275,8.24233234113329e-07,0.398008557202317,0.000412587607476158,0.201156146042915,0.000335011195116715,0.00741582213042663,3.965636875,24.95547125,0,0,0.986233474419383,0.944753128938283,0.989305862297643,0.993036129921366,0.977969693146106,18.7669529933231,2.87589101445889,0.321100749081211,8.5480313660984,7.02192986368462,-20.3809426249073,0.0826966
E3,16.6662533702572,0.476442811651737,0.0816233920227059,0.0100000000000222,0.00361014156541638,0.828386183966656,8.24233234113329e-07,0.438402156318667,0.000412587607476158,0.226723575470294,0.000335011195116715,0.00311182276701921,3.669509375,23.1224475,0,0,0.987271302485749,0.952208031083265,0.995004191217942,0.993443111949037,0.980610475070521,16.6662533702572,2.73992093016263,0.136569397161237,7.60945011743798,6.18031292549533,-25.6042523599005,0.0597359
E4,41.1384970381976,0.409101921353096,0.0508982849386178,0.0100000000000389,0.00361014156541638,0.759707618971291,8.24233234113329e-07,0.342851964546994,0.000412587607476158,0.178457707309288,0.000335011195116715,0.00806369200776421,6.371375,42.8336025,0,0,0.989816615718155,0.961556215181797,0.992350816716533,0.991117909507818,0.995481062888561,41.1384970381976,4.32878939877721,0.521859749823627,31.1459932876787,5.14185460191802,14.1523186494583,0.1037465
E5,28.8534459377561,0.504459567671447,0.0567040268834528,0.0100000000000223,0.00361014156541638,0.999999999999909,8.24233234113329e-07,0.750043036049436,0.000412587607476158,0.375698343753499,0.000335011195116715,0.000682158517260536,4.927559375,42.7407325,0,0,0.993485636728603,0.947189117949933,0.975043270365443,0.99684532183074,0.993138143555645,28.8534459377561,7.24790755433748,1.16845864826919,12.4259088267073,8.01117090844209,-1.4551379021636,0.1304256
E6,72.6280052602448,0.439244285483695,0.0496592041766796,0.0136267521891072,0.00361014156541638,0.999999999999978,8.24233234113329e-07,0.345997898190437,0.000412587607476158,0.18846477453595,0.000335011195116715,0.00317814676446881,6.211004375,42.91446875,0,0,0.98388539432608,0.932550899604248,0.86430511234143,0.995327694347446,0.972022449807829,72.6280052602448,9.48199179048365,8.02568178486544,18.0242296038186,37.0961020810771,39.1621933914761,0.0512187
E7,46.8094673643731,0.446195095628687,0.0505255206569413,0.0100000000000222,0.00361014156541638,0.407728995625378,8.24233234113329e-07,0.140793122937507,0.000412587607476158,0.076894041415113,0.000335011195116715,0.0163528284974678,6.293584375,41.652433125,0,0,0.988155158911937,0.95425307691689,0.993834442983282,0.99269487200601,0.986529785599183,46.8094673643731,6.65899326869606,0.453999496334461,24.805658174427,14.8908164249156,19.8345281880271,0.0455387
E8,73.5879587724805,0.397789005598848,0.0415963221926066,0.0100000000000444,0.00361014156541638,0.999999999999978,8.24233234113329e-07,0.212967752396124,0.000412587607476158,0.111152526840582,0.000335011195116715,0.00419895706770095,5.802380625,68.93774625,0,0,0.993304612459995,0.977401443807731,0.769767421982575,0.996355119931901,0.99158662974581,73.5879587724805,3.11386936335642,9.42229646626019,36.6093386236745,24.4424543191894,39.7399492021905,0.0792764
E9,234.632497040583,0.359273090087251,0.0300287588598157,0.0100000000000222,0.00361014156541638,0.999999999999978,8.24233234113329e-07,0.0762302712609588,0.000412587607476158,0.0382841841336646,0.000335011195116715,0.00792200718789787,7.52589,67.840828125,0,0,0.975862801388289,0.851511855729004,0.950570785102388,0.979268011274372,0.994893366408586,234.632497040583,31.0676224805669,4.51747072295107,187.465667580112,11.581736256953,90.7596669168839,0.1255642
E10,130.106417065663,0.43102261372371,0.0315223171256707,0.0100000000000222,0.00361014156541638,0.271472115439634,8.24233234113329e-07,0.0842260911371503,0.000412587607476158,0.0423060881727119,0.000335011195116715,0.00672593024590868,6.306616875,79.843654375,0,0,0.990780386638087,0.96020996137068,0.997701622125125,0.99641117753614,0.979401230578332,130.106417065663,13.6750266067457,0.183832432071757,46.8882514972986,69.3593065295469,64.8142863884841,0.1186865
