strain,objective,seed,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,w0,x0,y0,z0,W0,R2_adj,R2_w,R2_x,R2_y,R2_z,RSS_global,RSS_w,RSS_x,RSS_y,RSS_z,AIC,elapsed_sec
E1,0.0141334490500141,130425,0.118637955381958,0.01,0.238172864840163,0.00361014156541638,0.485058920527516,8.24233234113329e-07,0.275836575235217,0.000412587607476158,0.148332387757454,0.000335011195116715,0.045640803192597,3.02952683177561,16.7141426522767,0.153811866158315,0,0.997638862793645,0.993182395543879,0.998542526637295,0.997084913736371,0.997711684150314,1.43568262420341,0.0700350828205731,0.0158919585098369,1.07421102228464,0.275544560588362,-83.9710550523765,18.5972773
E2,0.00802903941490889,130425,0.18579275442303,0.0292994440459993,0.133623375675883,0.00361014156541638,0.221336093813659,8.24233234113329e-07,0.138524087184688,0.000412587607476158,0.0693817443052543,0.000335011195116715,0.0675319268792641,3.85132423288129,24.3100257968021,0.603489031229986,0,0.998928638079091,0.995686875224808,0.999507702966039,0.998752043117838,0.998335203327023,1.37794792746114,0.0975308597338103,0.00946661477041245,0.925872973256319,0.3450774797006,-85.284496621184,88.6749093
E3,0.0080009080317679,130425,0.216007036814369,0.0375129940626085,0.100674402118775,0.00361014156541638,0.172027952143309,8.24233234113329e-07,0.127580163421814,0.000412587607476158,0.0662969021910488,0.000335011195116715,0.0624557859538309,3.69376368926291,23.3346337307678,0.124559998579405,0,0.998752833340355,0.994341683732642,0.999784093555632,0.998045372191835,0.999678299946533,1.53714522813609,0.12300657801443,0.00371392811632102,1.34205916669524,0.0683655553100979,-81.785886548956,12.5441378
E4,0.00463146713527521,130425,0.284354469611361,0.0336999175753791,0.01,0.00361014156541638,0.222554841845697,8.24233234113329e-07,0.131155404409772,0.000412587607476158,0.0685703138063603,0.000335011195116715,0.0646612663200764,6.0257993786493,40.9433651031741,0.191034264216812,0,0.999799664485882,0.998325317598594,0.998039961016218,0.999789847590461,0.999730752787201,0.766745168238018,0.0681254252119769,0.0854250547752347,0.435081860901397,0.178112827349409,-104.04277377346,54.2264942
E5,0.0116353463124803,130425,0.162930152728443,0.01,0.165531057529899,0.00361014156541638,0.200606027909605,8.24233234113329e-07,0.143293187380879,0.000412587607476158,0.0698961743209661,0.000335011195116715,0.0320687305579043,4.71087010559681,42.2202773753081,0.04653330677103,0,0.999295462750793,0.989789307881211,0.999422239990614,0.998910590141576,0.999150977763724,3.08489894872986,0.246701504553355,0.0157351589370349,2.32922892751731,0.493233357722167,-59.4949440530557,37.9902054
E6,0.0201586323933802,130425,0.175635135463988,0.01,0.129641780775318,0.00361014156541638,0.433202999750002,8.24233234113329e-07,0.136938470495205,0.000412587607476158,0.0706360080259228,0.000335011195116715,0.0419129284360427,5.62996269219331,41.5260190013289,0.0645177614618135,0,0.997624834518652,0.993686930451474,0.99425843091526,0.996032553466891,0.997375646333006,10.2412789253472,0.160471109590314,0.211756057228648,8.35504285734176,1.51400890118646,-21.0979006698773,98.8126225
E7,0.00778242941126061,130425,0.349310865882118,0.0419373103382586,0.01,0.00361014156541638,0.147316375507447,8.24233234113329e-07,0.0735899031858656,0.000412587607476158,0.0398386331451756,0.000335011195116715,0.0808977101215775,6.03753610860432,39.9933401802281,0.152615872209954,0,0.999196698722595,0.996795354782956,0.999801963116288,0.999374857046407,0.997762362041484,2.93001483650119,0.227929364820202,0.00942598094837146,1.26099860351753,1.43166088721508,-61.1433093162012,64.5025565
E8,0.0483677056972657,130425,0.252300038906408,0.0288679658632907,0.01,0.00361014156541638,0.28502629249905,8.24233234113329e-07,0.0805871170833888,0.000412587607476158,0.0410323109394168,0.000335011195116715,0.0632066687374496,4.9452768975505,68.1450389613455,0,0,0.997552272060867,0.996743831037747,0.964202059121962,0.995225440697891,0.99454464137804,30.272228657409,0.0880096767253487,0.839427396163443,22.6470194122286,6.69777217229163,13.5838349910535,23.8604212
E9,0.0295190129474842,130425,0.247932416868888,0.0172104083264149,0.01,0.00361014156541638,0.202031692150491,8.24233234113329e-07,0.0296332248338166,0.000412587607476158,0.0146835157982473,0.000335011195116715,0.0958278650536459,7.23641894520306,67.4580996886758,0,0,0.999037723731133,0.985536561724494,0.989692363454019,0.996012153496491,0.999293315636994,12.1064258410832,1.00221265634977,0.590985831526354,10.0425819968444,0.470645356362626,-15.7439849572354,29.4904095
E10,0.00461227963896229,130425,0.307115658897997,0.0204809114750161,0.01,0.00361014156541638,0.100648770400246,8.24233234113329e-07,0.043529661936183,0.000412587607476158,0.0231138158705699,0.000335011195116715,0.0571982003727613,6.1345278989027,78.5438315764584,0.868635863887189,0,0.999743116380919,0.997455907798587,0.998948441066735,0.999361676076299,0.999845690689435,4.21182816480439,0.297111272556974,0.0484891954835348,3.59717423130686,0.269053465457024,-49.5308513900913,51.4611149
