strain,objective,seed,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,w0,x0,y0,z0,W0,R2_adj,R2_w,R2_x,R2_y,R2_z,RSS_global,RSS_w,RSS_x,RSS_y,RSS_z,AIC,elapsed_sec
E1,0.183245339587529,130425,0.212645011969812,0.034265180140751,0.245515105604619,0.00361014156541638,1,8.24233234113329e-07,0.475365512286819,0.000412587607476158,0.255496890950882,0.000335011195116715,0.0132425192309765,3.325705625,17.46948875,0,0,0.976826740093905,0.945545385965202,0.992347260032663,0.972079753917057,0.986705367635743,22.0839762463208,2.96280059150193,0.126218154489804,16.432445220184,2.56251228014503,-16.0605729142563,47.0524657
E2,0.16574006418174,130425,0.427786848870896,0.0781219794050474,0.01,0.00361014156541638,0.682490354479159,8.24233234113329e-07,0.372939109714964,0.000412587607476158,0.186068590956891,0.000335011195116715,0.00896551968990567,3.965636875,24.95547125,0,0,0.989525683404052,0.945841993102114,0.989189414257215,0.991571178693862,0.981122039764135,19.5071933801699,2.81920989198896,0.324597202376565,10.346233931785,6.01715235401932,-21.5196089133141,38.438383
E3,0.129417705214796,130425,0.422700535252197,0.0727469795841978,0.01,0.00361014156541638,0.449508255039815,8.24233234113329e-07,0.301519945779023,0.000412587607476158,0.152765927853888,0.000335011195116715,0.0084458826748927,3.669509375,23.1224475,0,0,0.989131834477808,0.956971076791365,0.997011969682212,0.989757418454963,0.985524876346952,19.0492098111228,2.46685478698526,0.0816831702336971,11.8867994595854,4.61387239431844,-22.5649462989553,21.6192271
E4,0.106984425949167,130425,0.420249811924597,0.0537591531280398,0.01,0.00361014156541638,0.67045059062772,8.24233234113329e-07,0.286311617988768,0.000412587607476158,0.149782659029465,0.000335011195116715,0.00864663125833855,6.371375,42.8336025,0,0,0.992489374196079,0.96748263237552,0.991599047285175,0.990599473950321,0.995686071346088,42.107149664819,3.6614718585757,0.573148651244247,32.9639426103195,4.90858654467951,12.3354986675055,107.7897132
E5,0.153927779126894,130425,0.461715606881912,0.0514524399295588,0.01,0.00361014156541638,1,8.24233234113329e-07,0.564777507123021,0.000412587607476158,0.289201916483344,0.000335011195116715,0.00146198454848306,4.927559375,42.7407325,0,0,0.994932113957705,0.946281531840709,0.987202181107522,0.995888700078908,0.993650624676846,31.5784359210732,7.37246711407026,0.599185966385317,16.1939301690234,7.41285267159429,-0.325196498354888,74.2796599
E6,0.286118263050787,130425,0.349285443903273,0.0375899305536664,0.01,0.00361014156541638,1,8.24233234113329e-07,0.222546815946084,0.000412587607476158,0.124659925092427,0.000335011195116715,0.0128755311721547,6.211004375,42.91446875,0,0,0.985305351558456,0.936160793366331,0.945546525743897,0.988948796483827,0.970933675549712,93.3668354759965,8.97451307222422,3.22065380649766,42.6319347205269,38.5397338767477,47.3735192492342,12.7890473
E7,0.123576231386176,130425,0.519644187782122,0.0607724205424369,0.01,0.00361014156541638,0.42587752722941,8.24233234113329e-07,0.134476639715539,0.000412587607476158,0.0736237743255822,0.000335011195116715,0.00880706897208519,6.293584375,41.652433125,0,0,0.990342020092535,0.968224618894522,0.996376336417493,0.991818368040774,0.982185198152527,52.3676552734736,4.62527389016362,0.266827707031624,27.7819589001713,19.6935947761071,21.930648316399,31.5312217
E8,0.178474562409758,130425,0.306180879898074,0.0309655908789616,0.01,0.00361014156541638,0.885784322144078,8.24233234113329e-07,0.115825751825405,0.000412587607476158,0.0620237432948036,0.000335011195116715,0.0226997212121766,5.802380625,68.93774625,0,0,0.991012004842475,0.986697705971444,0.905668976308819,0.98804517341108,0.990849209183721,152.353056314168,1.83293151498102,3.86050870314647,120.074813602657,26.5848024933834,68.9187512980211,45.3480512
E9,0.24921663883034,130425,0.396377097554255,0.0381924700114015,0.01,0.00361014156541638,0.640797427935979,8.24233234113329e-07,0.0408091222537779,0.000412587607476158,0.0208167520804741,0.000335011195116715,0.0115830978834516,7.52589,67.840828125,0,0,0.983228611136163,0.957050468091012,0.945406269937465,0.972693386701934,0.991924910968775,279.205421680912,8.9861709136205,4.98946984541544,246.915650930581,18.3141299912949,95.5716291082806,43.0559499
E10,0.109094489637099,130425,0.489705492212813,0.0372675070787489,0.01,0.00361014156541638,0.306101994387247,8.24233234113329e-07,0.0846850004627915,0.000412587607476158,0.0423863902242766,0.000335011195116715,0.00341904693286525,6.306616875,79.843654375,0,0,0.993457243634154,0.971972824327339,0.996096921640494,0.995165763409214,0.97900805901031,143.787415594194,9.6323699659129,0.312182080778892,63.1596863173874,70.6831772301147,66.3727072188545,44.7372889
